applicant_id,session_date,session_number,session_type,training_center,hours_attended
JB000908,2026-03-05,1,Orientation,East Center,4
JB000910,2026-03-16,1,Orientation,East Center,4
JB000913,2026-03-22,1,Orientation,East Center,4
JB000915,2026-03-21,1,Orientation,East Center,4
JB000916,2026-03-07,1,Orientation,East Center,4
JB000916,2026-04-03,2,Skills workshop,East Center,6
JB000918,2026-03-16,1,Orientation,East Center,4
JB000920,2026-03-08,1,Orientation,East Center,4
JB000920,2026-04-16,2,Skills workshop,East Center,6
JB000921,2026-03-07,1,Orientation,East Center,4
JB000922,2026-03-19,1,Orientation,East Center,4
JB000923,2026-03-05,1,Orientation,East Center,4
JB000924,2026-03-19,1,Orientation,East Center,4
JB000925,2026-03-21,1,Orientation,East Center,4
JB000926,2026-03-25,1,Orientation,East Center,4
JB000926,2026-04-11,2,Skills workshop,East Center,6
JB000927,2026-03-16,1,Orientation,East Center,4
JB000931,2026-03-20,1,Orientation,East Center,4
JB000931,2026-04-26,2,Skills workshop,East Center,6
JB000938,2026-03-24,1,Orientation,East Center,4
JB000939,2026-03-06,1,Orientation,East Center,4
JB000944,2026-03-25,1,Orientation,East Center,4
JB000946,2026-03-21,1,Orientation,East Center,4
JB000948,2026-03-16,1,Orientation,East Center,4
JB000957,2026-03-11,1,Orientation,East Center,4
JB000957,2026-04-08,2,Skills workshop,East Center,6
JB000960,2026-03-21,1,Orientation,East Center,4
JB000961,2026-03-16,1,Orientation,East Center,4
JB000962,2026-03-16,1,Orientation,East Center,4
JB000964,2026-03-13,1,Orientation,East Center,4
JB000966,2026-03-06,1,Orientation,East Center,4
JB000967,2026-03-26,1,Orientation,East Center,4
JB000968,2026-03-25,1,Orientation,East Center,4
JB000968,2026-04-13,2,Skills workshop,East Center,6
JB000968,2026-05-12,3,Job placement,East Center,6
JB000969,2026-03-20,1,Orientation,East Center,4
JB000970,2026-03-21,1,Orientation,East Center,4
JB000970,2026-04-17,2,Skills workshop,East Center,6
JB000970,2026-05-06,3,Job placement,East Center,6
JB000971,2026-03-23,1,Orientation,East Center,4
JB000974,2026-03-06,1,Orientation,East Center,4
JB000976,2026-03-06,1,Orientation,East Center,4
JB000980,2026-03-07,1,Orientation,East Center,4
JB000982,2026-03-23,1,Orientation,East Center,4
JB000984,2026-03-11,1,Orientation,East Center,4
JB000991,2026-03-21,1,Orientation,East Center,4
JB000992,2026-03-17,1,Orientation,East Center,4
JB000994,2026-03-03,1,Orientation,East Center,4
JB000995,2026-03-11,1,Orientation,East Center,4
JB001005,2026-03-21,1,Orientation,East Center,4
JB001005,2026-04-24,2,Skills workshop,East Center,6
JB001007,2026-03-04,1,Orientation,East Center,4
JB001009,2026-03-04,1,Orientation,East Center,4
JB001009,2026-04-06,2,Skills workshop,East Center,6
JB001009,2026-05-12,3,Job placement,East Center,6
JB001010,2026-03-23,1,Orientation,East Center,4
JB001012,2026-03-05,1,Orientation,East Center,4
JB001013,2026-03-17,1,Orientation,East Center,4
JB001014,2026-03-24,1,Orientation,East Center,4
JB001019,2026-03-11,1,Orientation,East Center,4
JB001020,2026-03-25,1,Orientation,East Center,4
JB001020,2026-04-13,2,Skills workshop,East Center,6
JB001024,2026-03-20,1,Orientation,East Center,4
JB001025,2026-03-05,1,Orientation,East Center,4
JB001027,2026-03-05,1,Orientation,East Center,4
JB001027,2026-04-22,2,Skills workshop,East Center,6
JB001030,2026-03-10,1,Orientation,East Center,4
JB001031,2026-03-11,1,Orientation,East Center,4
JB001032,2026-03-17,1,Orientation,East Center,4
JB001033,2026-03-18,1,Orientation,East Center,4
JB001034,2026-03-17,1,Orientation,East Center,4
JB001036,2026-03-24,1,Orientation,East Center,4
JB001038,2026-03-22,1,Orientation,East Center,4
JB001040,2026-03-03,1,Orientation,East Center,4
JB001040,2026-04-07,2,Skills workshop,East Center,6
JB001041,2026-03-25,1,Orientation,East Center,4
JB001042,2026-03-25,1,Orientation,East Center,4
JB001043,2026-03-20,1,Orientation,East Center,4
JB001043,2026-04-21,2,Skills workshop,East Center,6
JB001051,2026-03-11,1,Orientation,East Center,4
JB001055,2026-03-15,1,Orientation,East Center,4
JB001058,2026-03-12,1,Orientation,East Center,4
JB001059,2026-03-23,1,Orientation,East Center,4
JB001063,2026-03-12,1,Orientation,East Center,4
JB001068,2026-03-15,1,Orientation,East Center,4
JB001068,2026-04-20,2,Skills workshop,East Center,6
JB001073,2026-03-19,1,Orientation,East Center,4
JB001073,2026-04-09,2,Skills workshop,East Center,6
JB001074,2026-03-03,1,Orientation,East Center,4
JB001074,2026-04-21,2,Skills workshop,East Center,6
JB001078,2026-03-07,1,Orientation,East Center,4
JB001078,2026-04-26,2,Skills workshop,East Center,6
JB001080,2026-03-16,1,Orientation,East Center,4
JB001080,2026-04-15,2,Skills workshop,East Center,6
JB001080,2026-05-14,3,Job placement,East Center,6
JB001081,2026-03-11,1,Orientation,East Center,4
JB001082,2026-03-21,1,Orientation,East Center,4
JB001083,2026-03-17,1,Orientation,East Center,4
JB001087,2026-03-20,1,Orientation,East Center,4
JB001088,2026-03-25,1,Orientation,East Center,4
JB001089,2026-03-22,1,Orientation,East Center,4
JB001090,2026-03-09,1,Orientation,East Center,4
JB001090,2026-04-14,2,Skills workshop,East Center,6
JB001092,2026-03-10,1,Orientation,East Center,4
JB001097,2026-03-23,1,Orientation,East Center,4
JB001098,2026-03-11,1,Orientation,East Center,4
JB001099,2026-03-15,1,Orientation,East Center,4
JB001100,2026-03-20,1,Orientation,East Center,4
JB001100,2026-04-12,2,Skills workshop,East Center,6
JB001101,2026-03-26,1,Orientation,East Center,4
JB001102,2026-03-19,1,Orientation,East Center,4
JB001103,2026-03-06,1,Orientation,East Center,4
JB001103,2026-04-25,2,Skills workshop,East Center,6
JB001104,2026-03-21,1,Orientation,East Center,4
JB001106,2026-03-20,1,Orientation,East Center,4
JB001107,2026-03-24,1,Orientation,East Center,4
JB001108,2026-03-05,1,Orientation,East Center,4
JB001108,2026-04-13,2,Skills workshop,East Center,6
JB001109,2026-03-20,1,Orientation,East Center,4
JB001111,2026-03-12,1,Orientation,East Center,4
JB001113,2026-03-14,1,Orientation,East Center,4
JB001115,2026-03-10,1,Orientation,East Center,4
JB001118,2026-03-25,1,Orientation,East Center,4
JB001118,2026-04-06,2,Skills workshop,East Center,6
JB001119,2026-03-11,1,Orientation,East Center,4
JB001122,2026-03-10,1,Orientation,East Center,4
JB001122,2026-04-10,2,Skills workshop,East Center,6
JB001123,2026-03-11,1,Orientation,East Center,4
JB001124,2026-03-20,1,Orientation,East Center,4
JB001124,2026-04-22,2,Skills workshop,East Center,6
JB001124,2026-05-10,3,Job placement,East Center,6
JB001126,2026-03-08,1,Orientation,East Center,4
JB001130,2026-03-05,1,Orientation,East Center,4
JB001130,2026-04-21,2,Skills workshop,East Center,6
JB001134,2026-03-03,1,Orientation,East Center,4
JB001135,2026-03-05,1,Orientation,East Center,4
JB001136,2026-03-06,1,Orientation,East Center,4
JB001138,2026-03-11,1,Orientation,East Center,4
JB001139,2026-03-16,1,Orientation,East Center,4
JB001142,2026-03-25,1,Orientation,East Center,4
JB001142,2026-04-17,2,Skills workshop,East Center,6
JB001147,2026-03-09,1,Orientation,East Center,4
JB001148,2026-03-24,1,Orientation,East Center,4
JB001149,2026-03-26,1,Orientation,East Center,4
JB001152,2026-03-07,1,Orientation,East Center,4
JB001152,2026-04-19,2,Skills workshop,East Center,6
JB001152,2026-05-20,3,Job placement,East Center,6
JB001153,2026-03-08,1,Orientation,East Center,4
JB001155,2026-03-14,1,Orientation,East Center,4
JB001157,2026-03-04,1,Orientation,East Center,4
JB001159,2026-03-15,1,Orientation,East Center,4
JB001159,2026-04-19,2,Skills workshop,East Center,6
JB001161,2026-03-18,1,Orientation,East Center,4
JB001166,2026-03-11,1,Orientation,East Center,4
JB001168,2026-03-03,1,Orientation,East Center,4
JB001169,2026-03-05,1,Orientation,East Center,4
JB001171,2026-03-12,1,Orientation,East Center,4
JB001172,2026-03-10,1,Orientation,East Center,4
JB001174,2026-03-22,1,Orientation,East Center,4
JB001174,2026-04-25,2,Skills workshop,East Center,6
JB001175,2026-03-12,1,Orientation,East Center,4
JB001176,2026-03-23,1,Orientation,East Center,4
JB001177,2026-03-14,1,Orientation,East Center,4
JB001180,2026-03-12,1,Orientation,East Center,4
JB001180,2026-04-19,2,Skills workshop,East Center,6
JB001180,2026-05-22,3,Job placement,East Center,6
JB001181,2026-03-04,1,Orientation,East Center,4
JB001182,2026-03-15,1,Orientation,East Center,4
JB001184,2026-03-10,1,Orientation,East Center,4
JB001190,2026-03-21,1,Orientation,East Center,4
JB001191,2026-03-17,1,Orientation,East Center,4
JB001197,2026-03-21,1,Orientation,East Center,4
JB001199,2026-03-23,1,Orientation,East Center,4
JB001200,2026-03-04,1,Orientation,East Center,4
JB001201,2026-03-15,1,Orientation,Central Center,4
JB001205,2026-03-15,1,Orientation,Central Center,4
JB001209,2026-03-17,1,Orientation,Central Center,4
JB001212,2026-03-06,1,Orientation,Central Center,4
JB001212,2026-04-21,2,Skills workshop,Central Center,6
JB001214,2026-03-08,1,Orientation,Central Center,4
JB001216,2026-03-24,1,Orientation,Central Center,4
JB001216,2026-04-16,2,Skills workshop,Central Center,6
JB001223,2026-03-23,1,Orientation,Central Center,4
JB001223,2026-04-05,2,Skills workshop,Central Center,6
JB001224,2026-03-05,1,Orientation,Central Center,4
JB001225,2026-03-21,1,Orientation,Central Center,4
JB001227,2026-03-23,1,Orientation,Central Center,4
JB001228,2026-03-24,1,Orientation,Central Center,4
JB001231,2026-03-22,1,Orientation,Central Center,4
JB001234,2026-03-06,1,Orientation,Central Center,4
JB001234,2026-04-13,2,Skills workshop,Central Center,6
JB001235,2026-03-05,1,Orientation,Central Center,4
JB001235,2026-04-04,2,Skills workshop,Central Center,6
JB001241,2026-03-03,1,Orientation,Central Center,4
JB001242,2026-03-21,1,Orientation,Central Center,4
JB001246,2026-03-03,1,Orientation,Central Center,4
JB001250,2026-03-08,1,Orientation,Central Center,4
JB001251,2026-03-04,1,Orientation,Central Center,4
JB001252,2026-03-03,1,Orientation,Central Center,4
JB001252,2026-04-04,2,Skills workshop,Central Center,6
JB001253,2026-03-14,1,Orientation,Central Center,4
JB001254,2026-03-22,1,Orientation,Central Center,4
JB001259,2026-03-06,1,Orientation,Central Center,4
JB001260,2026-03-05,1,Orientation,Central Center,4
JB001260,2026-04-17,2,Skills workshop,Central Center,6
JB001265,2026-03-18,1,Orientation,Central Center,4
JB001266,2026-03-08,1,Orientation,Central Center,4
JB001270,2026-03-14,1,Orientation,Central Center,4
JB001276,2026-03-11,1,Orientation,Central Center,4
JB001278,2026-03-08,1,Orientation,Central Center,4
JB001282,2026-03-21,1,Orientation,Central Center,4
JB001283,2026-03-18,1,Orientation,Central Center,4
JB001285,2026-03-05,1,Orientation,Central Center,4
JB001289,2026-03-14,1,Orientation,Central Center,4
JB001292,2026-03-07,1,Orientation,Central Center,4
JB001295,2026-03-04,1,Orientation,Central Center,4
JB001297,2026-03-08,1,Orientation,Central Center,4
JB001298,2026-03-06,1,Orientation,Central Center,4
JB001302,2026-03-25,1,Orientation,Central Center,4
JB001306,2026-03-14,1,Orientation,Central Center,4
JB001307,2026-03-24,1,Orientation,Central Center,4
JB001308,2026-03-23,1,Orientation,Central Center,4
JB001313,2026-03-15,1,Orientation,Central Center,4
JB001321,2026-03-08,1,Orientation,Central Center,4
JB001323,2026-03-23,1,Orientation,Central Center,4
JB001324,2026-03-12,1,Orientation,Central Center,4
JB001326,2026-03-09,1,Orientation,Central Center,4
JB001326,2026-04-23,2,Skills workshop,Central Center,6
JB001332,2026-03-24,1,Orientation,Central Center,4
JB001332,2026-04-22,2,Skills workshop,Central Center,6
JB001335,2026-03-13,1,Orientation,Central Center,4
JB001337,2026-03-23,1,Orientation,Central Center,4
JB001337,2026-04-08,2,Skills workshop,Central Center,6
JB001338,2026-03-19,1,Orientation,Central Center,4
JB001339,2026-03-12,1,Orientation,Central Center,4
JB001339,2026-04-05,2,Skills workshop,Central Center,6
JB001344,2026-03-19,1,Orientation,Central Center,4
JB001346,2026-03-08,1,Orientation,Central Center,4
JB001347,2026-03-17,1,Orientation,Central Center,4
JB001349,2026-03-11,1,Orientation,Central Center,4
JB001352,2026-03-03,1,Orientation,Central Center,4
JB001353,2026-03-15,1,Orientation,Central Center,4
JB001354,2026-03-12,1,Orientation,Central Center,4
JB001355,2026-03-04,1,Orientation,Central Center,4
JB001356,2026-03-13,1,Orientation,Central Center,4
JB001358,2026-03-25,1,Orientation,Central Center,4
JB001360,2026-03-26,1,Orientation,Central Center,4
JB001361,2026-03-21,1,Orientation,Central Center,4
JB001363,2026-03-22,1,Orientation,Central Center,4
JB001364,2026-03-06,1,Orientation,Central Center,4
JB001364,2026-04-03,2,Skills workshop,Central Center,6
JB001364,2026-05-22,3,Job placement,Central Center,6
JB001365,2026-03-05,1,Orientation,Central Center,4
JB001366,2026-03-04,1,Orientation,Central Center,4
JB001366,2026-04-12,2,Skills workshop,Central Center,6
JB001366,2026-05-11,3,Job placement,Central Center,6
JB001369,2026-03-26,1,Orientation,Central Center,4
JB001369,2026-04-19,2,Skills workshop,Central Center,6
JB001372,2026-03-24,1,Orientation,Central Center,4
JB001374,2026-03-09,1,Orientation,Central Center,4
JB001374,2026-04-10,2,Skills workshop,Central Center,6
JB001375,2026-03-21,1,Orientation,Central Center,4
JB001376,2026-03-08,1,Orientation,Central Center,4
JB001377,2026-03-13,1,Orientation,Central Center,4
JB001377,2026-04-13,2,Skills workshop,Central Center,6
JB001379,2026-03-17,1,Orientation,Central Center,4
JB001379,2026-04-20,2,Skills workshop,Central Center,6
JB001379,2026-05-07,3,Job placement,Central Center,6
JB001380,2026-03-15,1,Orientation,Central Center,4
JB001383,2026-03-24,1,Orientation,Central Center,4
JB001384,2026-03-04,1,Orientation,Central Center,4
JB001385,2026-03-16,1,Orientation,Central Center,4
JB001385,2026-04-16,2,Skills workshop,Central Center,6
JB001385,2026-05-19,3,Job placement,Central Center,6
JB001389,2026-03-19,1,Orientation,Central Center,4
JB001391,2026-03-16,1,Orientation,Central Center,4
JB001394,2026-03-04,1,Orientation,Central Center,4
JB001396,2026-03-07,1,Orientation,Central Center,4
JB001396,2026-04-10,2,Skills workshop,Central Center,6
JB001398,2026-03-21,1,Orientation,Central Center,4
JB001398,2026-04-24,2,Skills workshop,Central Center,6
JB001399,2026-03-09,1,Orientation,Central Center,4
JB001402,2026-03-09,1,Orientation,Central Center,4
JB001403,2026-03-16,1,Orientation,Central Center,4
JB001403,2026-04-07,2,Skills workshop,Central Center,6
JB001405,2026-03-21,1,Orientation,Central Center,4
JB001405,2026-04-11,2,Skills workshop,Central Center,6
JB001407,2026-03-03,1,Orientation,Central Center,4
JB001409,2026-03-25,1,Orientation,Central Center,4
JB001411,2026-03-14,1,Orientation,Central Center,4
JB001412,2026-03-05,1,Orientation,Central Center,4
JB001416,2026-03-05,1,Orientation,Central Center,4
JB001416,2026-04-22,2,Skills workshop,Central Center,6
JB001416,2026-05-16,3,Job placement,Central Center,6
JB001417,2026-03-24,1,Orientation,Central Center,4
JB001421,2026-03-21,1,Orientation,Central Center,4
JB001423,2026-03-25,1,Orientation,Central Center,4
JB001425,2026-03-10,1,Orientation,Central Center,4
JB001426,2026-03-15,1,Orientation,Central Center,4
JB001428,2026-03-14,1,Orientation,Central Center,4
JB001428,2026-04-14,2,Skills workshop,Central Center,6
JB001429,2026-03-11,1,Orientation,Central Center,4
JB001429,2026-04-10,2,Skills workshop,Central Center,6
JB001430,2026-03-11,1,Orientation,Central Center,4
JB001431,2026-03-23,1,Orientation,Central Center,4
JB001431,2026-04-18,2,Skills workshop,Central Center,6
JB001431,2026-05-19,3,Job placement,Central Center,6
JB001432,2026-03-05,1,Orientation,Central Center,4
JB001432,2026-04-19,2,Skills workshop,Central Center,6
JB001433,2026-03-05,1,Orientation,Central Center,4
JB001436,2026-03-21,1,Orientation,Central Center,4
JB001439,2026-03-05,1,Orientation,Central Center,4
JB001440,2026-03-19,1,Orientation,Central Center,4
JB001441,2026-03-12,1,Orientation,Central Center,4
JB001444,2026-03-10,1,Orientation,Central Center,4
JB001447,2026-03-14,1,Orientation,Central Center,4
JB001449,2026-03-05,1,Orientation,Central Center,4
JB001451,2026-03-26,1,Orientation,Central Center,4
JB001452,2026-03-22,1,Orientation,Central Center,4
JB001452,2026-04-22,2,Skills workshop,Central Center,6
JB001454,2026-03-11,1,Orientation,Central Center,4
JB001456,2026-03-07,1,Orientation,Central Center,4
JB001457,2026-03-17,1,Orientation,Central Center,4
JB001457,2026-04-23,2,Skills workshop,Central Center,6
JB001457,2026-05-19,3,Job placement,Central Center,6
JB001458,2026-03-07,1,Orientation,Central Center,4
JB001460,2026-03-22,1,Orientation,Central Center,4
JB001462,2026-03-17,1,Orientation,Central Center,4
JB001463,2026-03-20,1,Orientation,Central Center,4
JB001465,2026-03-05,1,Orientation,Central Center,4
JB001465,2026-04-23,2,Skills workshop,Central Center,6
JB001466,2026-03-13,1,Orientation,Central Center,4
JB001467,2026-03-04,1,Orientation,Central Center,4
JB001468,2026-03-11,1,Orientation,Central Center,4
JB001474,2026-03-08,1,Orientation,Central Center,4
JB001475,2026-03-22,1,Orientation,Central Center,4
JB001477,2026-03-08,1,Orientation,Central Center,4
JB001478,2026-03-19,1,Orientation,Central Center,4
JB001481,2026-03-23,1,Orientation,Central Center,4
JB001484,2026-03-08,1,Orientation,Central Center,4
JB001485,2026-03-08,1,Orientation,Central Center,4
JB001486,2026-03-16,1,Orientation,Central Center,4
JB001488,2026-03-21,1,Orientation,Central Center,4
JB001489,2026-03-14,1,Orientation,Central Center,4
JB001490,2026-03-26,1,Orientation,Central Center,4
JB001491,2026-03-06,1,Orientation,Central Center,4
JB001493,2026-03-13,1,Orientation,Central Center,4
JB001493,2026-04-24,2,Skills workshop,Central Center,6
JB001496,2026-03-22,1,Orientation,Central Center,4
JB001497,2026-03-15,1,Orientation,Central Center,4
JB001497,2026-04-22,2,Skills workshop,Central Center,6
JB001497,2026-05-19,3,Job placement,Central Center,6
JB001499,2026-03-13,1,Orientation,Central Center,4
JB001499,2026-04-11,2,Skills workshop,Central Center,6
JB001500,2026-03-20,1,Orientation,Central Center,4
JB001507,2026-03-06,1,Orientation,Central Center,4
JB001510,2026-03-22,1,Orientation,Central Center,4
JB001510,2026-04-11,2,Skills workshop,Central Center,6
JB001510,2026-05-09,3,Job placement,Central Center,6
JB001514,2026-03-17,1,Orientation,Central Center,4
JB001514,2026-04-18,2,Skills workshop,Central Center,6
JB001520,2026-03-19,1,Orientation,Central Center,4
JB001520,2026-04-21,2,Skills workshop,Central Center,6
JB001521,2026-03-16,1,Orientation,Central Center,4
JB001521,2026-04-24,2,Skills workshop,Central Center,6
JB001523,2026-03-22,1,Orientation,Central Center,4
JB001523,2026-04-23,2,Skills workshop,Central Center,6
JB001523,2026-05-16,3,Job placement,Central Center,6
JB001529,2026-03-20,1,Orientation,Central Center,4
JB001530,2026-03-12,1,Orientation,Central Center,4
JB001533,2026-03-26,1,Orientation,Central Center,4
JB001536,2026-03-23,1,Orientation,Central Center,4
JB001536,2026-04-16,2,Skills workshop,Central Center,6
JB001537,2026-03-06,1,Orientation,Central Center,4
JB001538,2026-03-26,1,Orientation,Central Center,4
JB001538,2026-04-12,2,Skills workshop,Central Center,6
JB001539,2026-03-10,1,Orientation,Central Center,4
JB001541,2026-03-23,1,Orientation,Central Center,4
JB001544,2026-03-04,1,Orientation,Central Center,4
JB001544,2026-04-18,2,Skills workshop,Central Center,6
JB001547,2026-03-08,1,Orientation,Central Center,4
JB001548,2026-03-20,1,Orientation,Central Center,4
JB001550,2026-03-07,1,Orientation,Central Center,4
JB001550,2026-04-21,2,Skills workshop,Central Center,6
JB001553,2026-03-16,1,Orientation,Central Center,4
JB001555,2026-03-26,1,Orientation,Central Center,4
JB001555,2026-04-26,2,Skills workshop,Central Center,6
JB001555,2026-05-07,3,Job placement,Central Center,6
JB001556,2026-03-06,1,Orientation,Central Center,4
JB001557,2026-03-14,1,Orientation,Central Center,4
JB001560,2026-03-13,1,Orientation,Central Center,4
JB001560,2026-04-06,2,Skills workshop,Central Center,6
JB001560,2026-05-14,3,Job placement,Central Center,6
JB001568,2026-03-19,1,Orientation,Central Center,4
JB001568,2026-04-09,2,Skills workshop,Central Center,6
JB001569,2026-03-26,1,Orientation,Central Center,4
JB001573,2026-03-14,1,Orientation,Central Center,4
JB001574,2026-03-03,1,Orientation,Central Center,4
JB001574,2026-04-16,2,Skills workshop,Central Center,6
JB001577,2026-03-16,1,Orientation,Central Center,4
JB001578,2026-03-11,1,Orientation,Central Center,4
JB001581,2026-03-19,1,Orientation,Central Center,4
JB001581,2026-04-18,2,Skills workshop,Central Center,6
JB001581,2026-05-23,3,Job placement,Central Center,6
JB001582,2026-03-07,1,Orientation,Central Center,4
JB001585,2026-03-07,1,Orientation,Central Center,4
JB001586,2026-03-09,1,Orientation,Central Center,4
JB001587,2026-03-08,1,Orientation,Central Center,4
JB001587,2026-04-18,2,Skills workshop,Central Center,6
JB001592,2026-03-03,1,Orientation,Central Center,4
JB001597,2026-03-23,1,Orientation,Central Center,4
JB001598,2026-03-20,1,Orientation,Central Center,4
JB001600,2026-03-03,1,Orientation,Central Center,4
JB001600,2026-04-15,2,Skills workshop,Central Center,6
JB001603,2026-03-04,1,Orientation,Central Center,4
JB001604,2026-03-20,1,Orientation,Central Center,4
JB001607,2026-03-12,1,Orientation,Central Center,4
JB001608,2026-03-14,1,Orientation,Central Center,4
JB001611,2026-03-11,1,Orientation,Central Center,4
JB001614,2026-03-13,1,Orientation,Central Center,4
JB001614,2026-04-03,2,Skills workshop,Central Center,6
JB001615,2026-03-14,1,Orientation,Central Center,4
JB001616,2026-03-07,1,Orientation,Central Center,4
JB001616,2026-04-15,2,Skills workshop,Central Center,6
JB001616,2026-05-21,3,Job placement,Central Center,6
JB001620,2026-03-08,1,Orientation,Central Center,4
JB001622,2026-03-11,1,Orientation,Central Center,4
JB001623,2026-03-22,1,Orientation,Central Center,4
JB001626,2026-03-22,1,Orientation,Central Center,4
JB001626,2026-04-04,2,Skills workshop,Central Center,6
JB001627,2026-03-15,1,Orientation,Central Center,4
JB001629,2026-03-21,1,Orientation,Central Center,4
JB001630,2026-03-05,1,Orientation,Central Center,4
JB001631,2026-03-09,1,Orientation,Central Center,4
JB001633,2026-03-12,1,Orientation,Central Center,4
JB001633,2026-04-26,2,Skills workshop,Central Center,6
JB001635,2026-03-05,1,Orientation,Central Center,4
JB001638,2026-03-17,1,Orientation,Central Center,4
JB001639,2026-03-03,1,Orientation,Central Center,4
JB001641,2026-03-16,1,Orientation,Central Center,4
JB001642,2026-03-04,1,Orientation,Central Center,4
JB001644,2026-03-06,1,Orientation,Central Center,4
JB001645,2026-03-05,1,Orientation,Central Center,4
JB001646,2026-03-12,1,Orientation,Central Center,4
JB001647,2026-03-24,1,Orientation,Central Center,4
JB001647,2026-04-03,2,Skills workshop,Central Center,6
JB001648,2026-03-20,1,Orientation,Central Center,4
JB001649,2026-03-26,1,Orientation,Central Center,4
JB001650,2026-03-18,1,Orientation,Central Center,4
JB001652,2026-03-09,1,Orientation,Central Center,4
JB001654,2026-03-16,1,Orientation,Central Center,4
JB001654,2026-04-17,2,Skills workshop,Central Center,6
JB001658,2026-03-23,1,Orientation,Central Center,4
JB001659,2026-03-18,1,Orientation,Central Center,4
JB001659,2026-04-03,2,Skills workshop,Central Center,6
JB001661,2026-03-04,1,Orientation,Central Center,4
JB001661,2026-04-16,2,Skills workshop,Central Center,6
JB001662,2026-03-23,1,Orientation,Central Center,4
JB001662,2026-04-08,2,Skills workshop,Central Center,6
JB001663,2026-03-11,1,Orientation,Central Center,4
JB001665,2026-03-14,1,Orientation,Central Center,4
JB001665,2026-04-14,2,Skills workshop,Central Center,6
JB001666,2026-03-21,1,Orientation,Central Center,4
JB001670,2026-03-04,1,Orientation,Central Center,4
JB001671,2026-03-10,1,Orientation,Central Center,4
JB001671,2026-04-25,2,Skills workshop,Central Center,6
JB001671,2026-05-24,3,Job placement,Central Center,6
JB001672,2026-03-23,1,Orientation,Central Center,4
JB001676,2026-03-03,1,Orientation,Central Center,4
JB001676,2026-04-26,2,Skills workshop,Central Center,6
JB001676,2026-05-09,3,Job placement,Central Center,6
JB001677,2026-03-14,1,Orientation,Central Center,4
JB001678,2026-03-18,1,Orientation,Central Center,4
JB001679,2026-03-23,1,Orientation,Central Center,4
JB001680,2026-03-21,1,Orientation,Central Center,4
JB001681,2026-03-09,1,Orientation,Central Center,4
JB001682,2026-03-15,1,Orientation,Central Center,4
JB001683,2026-03-24,1,Orientation,Central Center,4
JB001683,2026-04-07,2,Skills workshop,Central Center,6
JB001685,2026-03-18,1,Orientation,Central Center,4
JB001685,2026-04-26,2,Skills workshop,Central Center,6
JB001688,2026-03-21,1,Orientation,Central Center,4
JB001689,2026-03-04,1,Orientation,Central Center,4
JB001693,2026-03-20,1,Orientation,Central Center,4
JB001695,2026-03-12,1,Orientation,Central Center,4
JB001698,2026-03-09,1,Orientation,Central Center,4
JB001698,2026-04-08,2,Skills workshop,Central Center,6
JB001699,2026-03-21,1,Orientation,Central Center,4
JB001699,2026-04-09,2,Skills workshop,Central Center,6
JB001701,2026-03-04,1,Orientation,Central Center,4
JB001704,2026-03-25,1,Orientation,Central Center,4
JB001704,2026-04-14,2,Skills workshop,Central Center,6
JB001704,2026-05-09,3,Job placement,Central Center,6
JB001706,2026-03-04,1,Orientation,Central Center,4
JB001710,2026-03-18,1,Orientation,Central Center,4
JB001711,2026-03-07,1,Orientation,Central Center,4
JB001712,2026-03-25,1,Orientation,Central Center,4
JB001712,2026-04-16,2,Skills workshop,Central Center,6
JB001713,2026-03-26,1,Orientation,Central Center,4
JB001713,2026-04-12,2,Skills workshop,Central Center,6
JB001717,2026-03-08,1,Orientation,Central Center,4
JB001718,2026-03-05,1,Orientation,Central Center,4
JB001722,2026-03-26,1,Orientation,Central Center,4
JB001723,2026-03-11,1,Orientation,Central Center,4
JB001725,2026-03-25,1,Orientation,Central Center,4
JB001726,2026-03-04,1,Orientation,Central Center,4
JB001728,2026-03-08,1,Orientation,Central Center,4
JB001729,2026-03-21,1,Orientation,Central Center,4
JB001733,2026-03-22,1,Orientation,Central Center,4
JB001733,2026-04-03,2,Skills workshop,Central Center,6
JB001734,2026-03-26,1,Orientation,Central Center,4
JB001734,2026-04-10,2,Skills workshop,Central Center,6
JB001735,2026-03-26,1,Orientation,Central Center,4
JB001735,2026-04-08,2,Skills workshop,Central Center,6
JB001735,2026-05-14,3,Job placement,Central Center,6
JB001736,2026-03-25,1,Orientation,Central Center,4
JB001736,2026-04-04,2,Skills workshop,Central Center,6
JB001742,2026-03-26,1,Orientation,Central Center,4
JB001743,2026-03-07,1,Orientation,Central Center,4
JB001743,2026-04-05,2,Skills workshop,Central Center,6
JB001744,2026-03-15,1,Orientation,Central Center,4
JB001744,2026-04-22,2,Skills workshop,Central Center,6
JB001745,2026-03-13,1,Orientation,Central Center,4
JB001750,2026-03-11,1,Orientation,Central Center,4
JB001753,2026-03-14,1,Orientation,Central Center,4
JB001754,2026-03-25,1,Orientation,Central Center,4
JB001755,2026-03-06,1,Orientation,Central Center,4
JB001756,2026-03-05,1,Orientation,Central Center,4
JB001757,2026-03-24,1,Orientation,Central Center,4
JB001757,2026-04-19,2,Skills workshop,Central Center,6
JB001760,2026-03-17,1,Orientation,Central Center,4
JB001763,2026-03-08,1,Orientation,Central Center,4
JB001763,2026-04-25,2,Skills workshop,Central Center,6
JB001766,2026-03-21,1,Orientation,Central Center,4
JB001769,2026-03-13,1,Orientation,Central Center,4
